Filename	URN	Title	Author	Editor	Publisher	Publication Year
PL47_2_UNK.xml		None	None	None	None	None	No citable units founds
PL47_4_SAN.xml		None	None	None	None	None	No citable units founds
PL47_6_SOL.xml		None	None	None	None	None	[['div']]
PL47_1_UNK.xml		None	None	None	None	None	No citable units founds
PL47_3_UNK.xml		None	None	None	None	None	No citable units founds
PL47_0_UNK.xml		None	None	None	None	None	No citable units founds
PL47_5_UNK.xml		None	None	None	None	None	[['div']]
PL47_7_SER.xml		None	None	None	None	None	[['div']]
PL57_2_ADD.xml		Homiliae In Quatuor Classes Distributae	None	Jacques Paul Migne	Garnier	1847	No citable units founds
PL57_4_SAN.xml		Homiliae In Quatuor Classes Distributae	None	Jacques Paul Migne	Garnier	1847	No citable units founds
PL57_5_APP.xml		Homiliae In Quatuor Classes Distributae	None	Jacques Paul Migne	Garnier	1847	No citable units founds
PL57_7_EPI.xml		Homiliae In Quatuor Classes Distributae	None	Jacques Paul Migne	Garnier	1847	No citable units founds
PL57_6_HOM.xml		Homiliae In Quatuor Classes Distributae	None	Jacques Paul Migne	Garnier	1847	No citable units founds
PL57_3_SAN.xml		Homiliae In Quatuor Classes Distributae	None	Jacques Paul Migne	Garnier	1847	No citable units founds
PL57_1_SAN.xml		Homiliae In Quatuor Classes Distributae	None	Jacques Paul Migne	Garnier	1847	No citable units founds
PL57_0_SAN.xml		Homiliae In Quatuor Classes Distributae	None	Jacques Paul Migne	Garnier	1847	No citable units founds
PL53_12_CA.xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL53_2_ARN.xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL53_22_AN.xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL53_23_EU.xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL53_25_SA.xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL53_26_SA.xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL53_3_DE .xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL53_17_S..xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL53_19_CA.xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL53_16_CH.xml		Adversus Avaritiam Libri Quatuor	None	Jacques Paul Migne	Garnier	1865	No citable units founds
